message	phishing
Hola, hemos notado algo extraño en tu cuenta de Whatsapp. ¿Fuiste tú? Si no, Ingresa tus datos para protegerte	1
Oye, ¿todavía tienes esos boletos para el evento en Facebook?	0
Hola, parece que hubo un inicio de sesión extraño en tu cuenta X. Por favor, Visita este enlace para confirmar que fuiste tú	1
Hola, parece que hubo un inicio de sesión extraño en tu cuenta Facebook. Por favor, Regístrate ahora para confirmar que fuiste tú	1
Si no quieres perder más tiempo en trámites, Laura es la persona que necesitas. Encuentra más sobre él en usuarioTelegram	1
Vi una oferta de X que podría interesarte. ¿Te paso el enlace?	0
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
¡Hola! ¿Cómo estuvo tu día?	0
¡Hola! número de teléfono. Espero estés bien	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Regístrate ahora. Es más fácil de lo que piensas	1
¿Viste el último episodio de esa serie en X? No puedo creer lo que pasó	0
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Verifica tu identidad. Es más fácil de lo que piensas	1
Vi una publicación sobre nuestro servicio en MercadoPago y pensé que podrías encontrarla interesante	0
Estoy organizando un pequeño evento este fin de semana. Sería genial si pudieras unirte	0
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu información de contacto?	1
¡Hola! Estoy organizando un evento exclusivo y me encantaría que asistieras. Haz clic aquí para confirmar tu asistencia	1
Descubrí esta nueva app en Amazon. Es asombrosa y creo que te encantará. Regístrate ahora para echarle un vistazo	1
Te escribo para recordarte sobre la reunión de mañana en Tu banco. ¿Podrás asistir?	0
Hola, hemos notado algo extraño en tu cuenta de Amazon. ¿Fuiste tú? Si no, Contáctame para protegerte	1
¡Buenas noticias! ¡Oferta especial!. Si te interesa, Sigue este enlace aquí	1
¡Gran noticia! Estamos contratando en Facebook. Si estás interesado en unirte a nuestro equipo, Visita este enlace. Pero apresúrate, las vacantes son limitadas	1
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu detalles de pago?	1
Alguien está difundiendo rumores sobre ti en Facebook. Visita este enlace para ver lo que están diciendo	1
Gracias por tu compra en Amazon. Todo está en orden	0
Tengo algunas recomendaciones de el último libro que te podrían interesar. ¿Te las envío?	0
Te escribo para recordarte sobre la reunión de mañana en X. ¿Podrás asistir?	0
¡Hola! número de teléfono. Espero estés bien	0
Estoy buscando sugerencias para la membresía. ¿Tienes alguna recomendación?	0
Te escribo para recordarte sobre la reunión de mañana en Facebook. ¿Podrás asistir?	0
Hola, soy yo, Fernando. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
Aquí tienes la información de el último libro que solicitaste. Saludos	0
¡Buenas noticias! ¡Oferta única!. Si te interesa, Ingresa tus datos aquí	1
Descubre cómo las criptomonedas están cambiando la forma de ganar dinero. Regístrate ahora para unirte a nuestro grupo	1
Por tu seguridad, hemos detectado una actividad sospechosa. Contáctame para verificar	1
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Verifica tu identidad para ver lo que otros están diciendo	1
Estoy pensando en probar Facebook. ¿Tienes alguna recomendación o consejo al respecto?	0
Tengo algunas recomendaciones de la membresía que te podrían interesar. ¿Te las envío?	0
Sólo quería decirte que estuve pensando en ti. Espero que estemos en contacto pronto	0
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en Tu banco?	0
¡Hola! Estamos realizando una encuesta en Netflix y te hemos seleccionado. Haz clic aquí para completarla y podrías ganar un premio	1
¿Vas a la reunión de Facebook esta noche?	0
Hola, recibimos una solicitud para cambiar tu contraseña. Si no solicitaste esto, Ingresa tus datos inmediatamente	1
¡Hola! Soy el asistente virtual de X. Parece que hay un pequeño problema con tu cuenta. Contáctame para que te ayude	1
¡Gran noticia! Tenemos un ¡Oportunidad única! solo para ti. Regístrate ahora para aprovecharlo	1
Recuerda enviar esos documentos para la próxima reunión en MercadoPago. ¡Gracias!	0
Tengo algunas recomendaciones de la última película que te podrían interesar. ¿Te las envío?	0
Estuve revisando Fibertel y encontré algo que podría interesarte. Te lo enviaré más tarde	0
Leí algo sorprendente sobre un tema que te podría interesar. Contáctame para descubrir si es real o no	1
Desde que descubrí este negocio, mi vida cambió. Verifica tu identidad si quieres saber más	1
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
¡Esa receta que compartiste en X se ve deliciosa! ¿Puedes pasarme los detalles?	0
Después de semanas de búsqueda, Carla solucionó mi problema en un día. Visita este enlace para hablar con él	1
Para evitar cargos adicionales en MercadoPago, te recomendamos Ingresa tus datos en el enlace adjunto	1
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
Estuve revisando Facebook y encontré algo que podría interesarte. Te lo enviaré más tarde	0
Estamos lanzando una nueva app y nos gustaría que la pruebes. Regístrate ahora para descargarla. Asegúrate de revisar los permisos	1
¡Enhorabuena! Has sido seleccionado para una ¡Última oportunidad!. Haz clic aquí para más detalles	1
¡Gracias por recomendarme Banco Nación! Ha sido de gran ayuda para mi trabajo	0
Desde que descubrí este negocio, mi vida cambió. Contáctame si quieres saber más	1
Estamos lanzando una nueva app y nos gustaría que la pruebes. Regístrate ahora para descargarla. Asegúrate de revisar los permisos	1
Estuve revisando Fibertel y encontré algo que podría interesarte. Te lo enviaré más tarde	0
¡Hola! Soy el asistente virtual de Fibertel. Parece que hay un pequeño problema con tu cuenta. Confirma tus detalles para que te ayude	1
Hola, parece que tienes una factura pendiente con Banco Nación. Contáctame para ver los detalles	1
Oye, perdí mi teléfono y tuve que conseguir uno nuevo. ¿Podemos ponernos al día mañana?	0
Recientemente, descubrí cómo Juan ganó mucho dinero en poco tiempo. Haz clic si quieres conocer el secreto	1
Si estás buscando una inversión segura con buenos retornos, esta es tu oportunidad. Haz clic para más información	1
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Gmail y me alegró el día	0
Leí algo sorprendente sobre un tema que te podría interesar. Contáctame para descubrir si es real o no	1
¡Hola! Soy el asistente virtual de Fibertel. Parece que hay un pequeño problema con tu cuenta. Regístrate ahora para que te ayude	1
¡Buenas noticias! ¡Oferta única!. Si te interesa, Ingresa tus datos aquí	1
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Fibertel y me alegró el día	0
Estoy organizando un pequeño evento este fin de semana. Sería genial si pudieras unirte	0
Estoy leyendo un libro sobre el último libro. Creo que te gustaría	0
Hola, la reunión se ha reprogramado. Avísame si tienes dudas	0
Aquí tienes la información de tu cuenta que solicitaste. Saludos	0
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
Estamos lanzando una nueva app y nos gustaría que la pruebes. Ingresa tus datos para descargarla. Asegúrate de revisar los permisos	1
He estado pensando en lo que discutimos en MercadoPago. Deberíamos hablar más sobre eso	0
Recientemente, descubrí cómo Lucía ganó mucho dinero en poco tiempo. Confirma tus detalles si quieres conocer el secreto	1
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Haz clic para ver lo que otros están diciendo	1
Vi una publicación sobre nuestro servicio en X y pensé que podrías encontrarla interesante	0
¡Hola! detalles de pago. Espero estés bien	0
¡Esa receta que compartiste en Amazon se ve deliciosa! ¿Puedes pasarme los detalles?	0
Estamos lanzando una nueva app y nos gustaría que la pruebes. Visita este enlace para descargarla. Asegúrate de revisar los permisos	1
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Twitter. Confirma tus detalles para reclamar tu premio	1
Recuerda enviar esos documentos para la próxima reunión en MercadoPago. ¡Gracias!	0
¿Cansado de esperar? Laura puede hacer ese trámite por ti. Aquí su contacto: @otrousuarioInstagram	1
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Netflix?	0
Estuve revisando Banco Nación y encontré algo que podría interesarte. Te lo enviaré más tarde	0
Estoy buscando sugerencias para nuestro servicio. ¿Tienes alguna recomendación?	0
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Twitter?	0
No sé si viste esto, pero hay un video tuyo circulando por Tu banco. Visita este enlace para verlo. ¿Eres tú en el video?	1
¡Felicidades! Ganaste un premio exclusivo. Ingresa tus datos para obtenerlo. Asegúrate de estar en el sitio oficial	1
Vi una publicación sobre la última película en Facebook y pensé que podrías encontrarla interesante	0
Hey, mira este enlace que encontré: Contáctame. Es una historia increíble sobre ti. ¿Es cierto?	1
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Tu banco. Sigue este enlace para reclamar tu premio	1
Hace mucho que no nos vemos. ¿Te gustaría salir a tomar algo esta semana?	0
Hola, parece que hubo un inicio de sesión extraño en tu cuenta Amazon. Por favor, Sigue este enlace para confirmar que fuiste tú	1
¡Hola! Estamos realizando una encuesta en Twitter y te hemos seleccionado. Contáctame para completarla y podrías ganar un premio	1
¡Hola! Estoy organizando un evento exclusivo y me encantaría que asistieras. Contáctame para confirmar tu asistencia	1
¿Viste el último episodio de esa serie en Tu banco? No puedo creer lo que pasó	0
¡Felicidades! Ganaste un premio exclusivo. Contáctame para obtenerlo. Asegúrate de estar en el sitio oficial	1
Carlos ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en @usuarioTwitter	1
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Tu banco y me alegró el día	0
¿Vas a la reunión de Gmail esta noche?	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Confirma tus detalles para saber cómo	1
Recibimos una notificación de que Facebook necesita una actualización. Haz clic para asegurarte de que todo funcione correctamente	1
¿Has escuchado la nueva canción de Carla? Está genial	0
¿Viste el último episodio de esa serie en Amazon? No puedo creer lo que pasó	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Verifica tu identidad para saber cómo	1
Estoy leyendo un libro sobre nuestro servicio. Creo que te gustaría	0
Oye, ¿recuerdas el nombre de esa película de la que hablamos en MercadoPago?	0
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Gmail?	0
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en Facebook?	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Verifica tu identidad. Es más fácil de lo que piensas	1
Hey, mira este enlace que encontré: Regístrate ahora. Es una historia increíble sobre ti. ¿Es cierto?	1
Gracias por tu interés en la última película. Te contactaremos pronto	0
Te escribo para recordarte sobre la reunión de mañana en Whatsapp. ¿Podrás asistir?	0
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en MercadoPago?	0
¿Cansado de esperar? Lucía puede hacer ese trámite por ti. Aquí su contacto: @otrousuarioInstagram	1
Si estás buscando una inversión segura con buenos retornos, esta es tu oportunidad. Sigue este enlace para más información	1
Vi las fotos de tu viaje en Facebook. ¡Se veía increíble!	0
Vi una oferta de MercadoPago que podría interesarte. ¿Te paso el enlace?	0
Desde que descubrí este negocio, mi vida cambió. Visita este enlace si quieres saber más	1
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
Recibimos una notificación de que Facebook necesita una actualización. Ingresa tus datos para asegurarte de que todo funcione correctamente	1
Recibí tu invitación para el evento en Whatsapp. ¡Gracias! Confirmaré mi asistencia pronto	0
Gracias por tu interés en tu cuenta. Te contactaremos pronto	0
Sólo quería decirte que estuve pensando en ti. Espero que estemos en contacto pronto	0
Oye, ¿todavía tienes esos boletos para el evento en Facebook?	0
Hola, soy yo, Carlos. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
¡Gran noticia! Estamos contratando en MercadoPago. Si estás interesado en unirte a nuestro equipo, Haz clic. Pero apresúrate, las vacantes son limitadas	1
¡Esa receta que compartiste en MercadoPago se ve deliciosa! ¿Puedes pasarme los detalles?	0
¿Cansado de esperar? Carla puede hacer ese trámite por ti. Aquí su contacto: +54911XXXXXXX	1
¡Hola! Estoy organizando un evento exclusivo y me encantaría que asistieras. Contáctame para confirmar tu asistencia	1
¿Cansado de esperar? Carla puede hacer ese trámite por ti. Aquí su contacto: nombre.apellido@gmail.com	1
Hola, te extrañamos en el grupo. Avísame si tienes dudas	0
¡Felicidades! Ganaste un premio exclusivo. Sigue este enlace para obtenerlo. Asegúrate de estar en el sitio oficial	1
Hola, soy yo, Sofía. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
Hola, hemos notado algo extraño en tu cuenta de X. ¿Fuiste tú? Si no, Haz clic aquí para protegerte	1
Si quieres saber cómo algunos están multiplicando sus ingresos, Sigue este enlace. Es más fácil de lo que piensas	1
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Facebook. Ingresa tus datos para reclamar tu premio	1
Hola, dirección de correo. Avísame si tienes dudas	0
He estado pensando en lo que discutimos en Netflix. Deberíamos hablar más sobre eso	0
Hola, hemos notado algo extraño en tu cuenta de Fibertel. ¿Fuiste tú? Si no, Haz clic aquí para protegerte	1
Gracias por tu compra en Tu banco. Todo está en orden	0
Gracias por tu compra en Gmail. Todo está en orden	0
Hey, mira este enlace que encontré: Regístrate ahora. Es una historia increíble sobre ti. ¿Es cierto?	1
¡Gran noticia! Estamos contratando en Fibertel. Si estás interesado en unirte a nuestro equipo, Haz clic. Pero apresúrate, las vacantes son limitadas	1
Por tu seguridad, hemos detectado una actividad sospechosa. Confirma tus detalles para verificar	1
Recibí tu mensaje sobre nuestro servicio. Lo revisaré y te responderé pronto	0
Si no quieres perder más tiempo en trámites, Miguel es la persona que necesitas. Encuentra más sobre él en usuarioTelegram	1
¡Genial! Tienes un bono de un iPhone esperando por ti. Ingresa tus datos para obtenerlo	1
Si quieres saber cómo algunos están multiplicando sus ingresos, Visita este enlace. Es más fácil de lo que piensas	1
Descubre cómo las criptomonedas están cambiando la forma de ganar dinero. Ingresa tus datos para unirte a nuestro grupo	1
¡Hola! Soy yo, Juan. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
¿Vas a la reunión de Facebook esta noche?	0
Por favor, confirma tu asistencia a la reunión de mañana. Saludos	0
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Fibertel.	0
Estamos lanzando una nueva app y nos gustaría que la pruebes. Ingresa tus datos para descargarla. Asegúrate de revisar los permisos	1
Aquí tienes la información de nuestro servicio que solicitaste. Saludos	0
¡Hola! ¿Cómo estuvo tu día?	0
Después de semanas de búsqueda, Diego solucionó mi problema en un día. Ingresa tus datos para hablar con él	1
Si estás buscando una inversión segura con buenos retornos, esta es tu oportunidad. Confirma tus detalles para más información	1
Gracias por tu interés en la última película. Te contactaremos pronto	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en X?	0
¡Hola! Estamos realizando una encuesta en Facebook y te hemos seleccionado. Verifica tu identidad para completarla y podrías ganar un premio	1
¡Hola! número de teléfono. Espero estés bien	0
Leí algo sorprendente sobre un tema que te podría interesar. Contáctame para descubrir si es real o no	1
Recientemente, descubrí cómo Diego ganó mucho dinero en poco tiempo. Confirma tus detalles si quieres conocer el secreto	1
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Confirma tus detalles. Es más fácil de lo que piensas	1
¡Gran noticia! Estamos contratando en Amazon. Si estás interesado en unirte a nuestro equipo, Regístrate ahora. Pero apresúrate, las vacantes son limitadas	1
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Banco Nación.	0
Recibimos una notificación de que MercadoPago necesita una actualización. Haz clic para asegurarte de que todo funcione correctamente	1
Estoy organizando un pequeño evento este fin de semana. Sería genial si pudieras unirte	0
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Haz clic para ver lo que otros están diciendo	1
Tengo algunas recomendaciones de la última película que te podrían interesar. ¿Te las envío?	0
Leí algo sorprendente sobre un tema que te podría interesar. Verifica tu identidad para descubrir si es real o no	1
Hola, hemos notado algo extraño en tu cuenta de Facebook. ¿Fuiste tú? Si no, Haz clic aquí para protegerte	1
Si estás buscando una inversión segura con buenos retornos, esta es tu oportunidad. Confirma tus detalles para más información	1
Hola, soy yo, Diego. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu tu pedido está en camino?	1
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
Aquí tienes la información de la última película que solicitaste. Saludos	0
Recibí tu mensaje sobre tu cuenta. Lo revisaré y te responderé pronto	0
Tu suscripción a Gmail está activa. No dudes en contactarnos	0
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en Banco Nación?	0
Carlos ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en nombre.apellido@gmail.com	1
Recientemente, descubrí cómo Lucía ganó mucho dinero en poco tiempo. Haz clic si quieres conocer el secreto	1
Oye, ¿recuerdas el nombre de esa película de la que hablamos en X?	0
Desde que descubrí este negocio, mi vida cambió. Contáctame si quieres saber más	1
Hey, mira este enlace que encontré: Haz clic aquí. Es una historia increíble sobre ti. ¿Es cierto?	1
¡Hola! ¿Cómo estuvo tu día?	0
He estado pensando en lo que discutimos en Facebook. Deberíamos hablar más sobre eso	0
Recibí tu mensaje sobre tu cuenta. Lo revisaré y te responderé pronto	0
Estoy organizando un pequeño evento este fin de semana. Sería genial si pudieras unirte	0
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en MercadoPago?	0
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
Sólo quería decirte que estuve pensando en ti. Espero que estemos en contacto pronto	0
Hola, parece que hubo un inicio de sesión extraño en tu cuenta Netflix. Por favor, Regístrate ahora para confirmar que fuiste tú	1
Estoy buscando sugerencias para la última película. ¿Tienes alguna recomendación?	0
Después de semanas de búsqueda, Miguel solucionó mi problema en un día. Regístrate ahora para hablar con él	1
Estoy pensando en probar Gmail. ¿Tienes alguna recomendación o consejo al respecto?	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Regístrate ahora. Es más fácil de lo que piensas	1
Hola, hemos notado algo extraño en tu cuenta de Amazon. ¿Fuiste tú? Si no, Verifica tu identidad para protegerte	1
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
Hola, parece que hubo un inicio de sesión extraño en tu cuenta Fibertel. Por favor, Visita este enlace para confirmar que fuiste tú	1
Oye, ¿todavía tienes esos boletos para el evento en Facebook?	0
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
Vi una publicación sobre nuestro servicio en Tu banco y pensé que podrías encontrarla interesante	0
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
Leí algo sorprendente sobre un tema que te podría interesar. Verifica tu identidad para descubrir si es real o no	1
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Verifica tu identidad para ver lo que otros están diciendo	1
Por tu seguridad, hemos detectado una actividad sospechosa. Ingresa tus datos para verificar	1
Vi las fotos de tu viaje en Amazon. ¡Se veía increíble!	0
¡Hola! tu pedido está en camino. Espero estés bien	0
No sé si viste esto, pero hay un video tuyo circulando por Twitter. Confirma tus detalles para verlo. ¿Eres tú en el video?	1
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Sigue este enlace para ver lo que otros están diciendo	1
¡Genial! Tienes un bono de $500 esperando por ti. Sigue este enlace para obtenerlo	1
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en Amazon?	0
¡Hola! Estoy organizando un evento exclusivo y me encantaría que asistieras. Confirma tus detalles para confirmar tu asistencia	1
Tu suscripción a Tu banco está activa. No dudes en contactarnos	0
Oye, ¿todavía tienes esos boletos para el evento en Netflix?	0
Oye, perdí mi teléfono y tuve que conseguir uno nuevo. ¿Podemos ponernos al día mañana?	0
¡Hola! ¿Cómo estuvo tu día?	0
Lucía ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en usuarioTelegram	1
Oye, perdí mi teléfono y tuve que conseguir uno nuevo. ¿Podemos ponernos al día mañana?	0
Tengo algunas recomendaciones de la membresía que te podrían interesar. ¿Te las envío?	0
Recibí tu invitación para el evento en Whatsapp. ¡Gracias! Confirmaré mi asistencia pronto	0
Oye, ¿todavía tienes esos boletos para el evento en Tu banco?	0
¿Vas a la reunión de Whatsapp esta noche?	0
Oye, ¿todavía tienes esos boletos para el evento en Amazon?	0
Si no quieres perder más tiempo en trámites, Carla es la persona que necesitas. Encuentra más sobre él en @usuarioTwitter	1
Tengo algunas recomendaciones de tu cuenta que te podrían interesar. ¿Te las envío?	0
Después de semanas de búsqueda, Lucía solucionó mi problema en un día. Haz clic para hablar con él	1
Estoy organizando un pequeño evento este fin de semana. Sería genial si pudieras unirte	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Gmail?	0
¡Hola! ¿Cómo estuvo tu día?	0
Recientemente, descubrí cómo Juan ganó mucho dinero en poco tiempo. Visita este enlace si quieres conocer el secreto	1
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Regístrate ahora para ver lo que otros están diciendo	1
Vi una publicación sobre el último libro en Gmail y pensé que podrías encontrarla interesante	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Contáctame para saber cómo	1
Amazon te trae esta oferta especial. Esperamos te guste	0
Por favor, confirma tu asistencia a la cita con el doctor. Saludos	0
Recientemente, descubrí cómo Juan ganó mucho dinero en poco tiempo. Ingresa tus datos si quieres conocer el secreto	1
Recibimos una notificación de que Facebook necesita una actualización. Regístrate ahora para asegurarte de que todo funcione correctamente	1
Después de semanas de búsqueda, Laura solucionó mi problema en un día. Visita este enlace para hablar con él	1
Gracias por tu compra en X. Todo está en orden	0
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Twitter.	0
Hola, recibimos una solicitud para cambiar tu contraseña. Si no solicitaste esto, Haz clic inmediatamente	1
Oye, ¿recuerdas el nombre de esa película de la que hablamos en Netflix?	0
Hace mucho que no nos vemos. ¿Te gustaría salir a tomar algo esta semana?	0
¡Buenas noticias! ¡Oferta especial!. Si te interesa, Confirma tus detalles aquí	1
Tengo algunas recomendaciones de el último libro que te podrían interesar. ¿Te las envío?	0
¡Genial! Tienes un bono de un iPhone esperando por ti. Haz clic aquí para obtenerlo	1
El envío de tu pedido información de contacto. ¡Gracias por elegirnos!	0
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu tu pedido está en camino?	1
Hey, mira este enlace que encontré: Visita este enlace. Es una historia increíble sobre ti. ¿Es cierto?	1
Estoy pensando en probar Facebook. ¿Tienes alguna recomendación o consejo al respecto?	0
Estoy organizando un pequeño evento este fin de semana. Sería genial si pudieras unirte	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Netflix?	0
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Whatsapp?	0
¡Felicidades! Ganaste un premio exclusivo. Contáctame para obtenerlo. Asegúrate de estar en el sitio oficial	1
¡Hola! Soy yo, Carla. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Por favor, confirma tu asistencia a el evento del viernes. Saludos	0
Después de semanas de búsqueda, Carlos solucionó mi problema en un día. Sigue este enlace para hablar con él	1
Vi las fotos de tu viaje en Whatsapp. ¡Se veía increíble!	0
Estoy leyendo un libro sobre nuestro servicio. Creo que te gustaría	0
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
¿Cansado de esperar? Laura puede hacer ese trámite por ti. Aquí su contacto: @otrousuarioInstagram	1
¿Cansado de esperar? Carlos puede hacer ese trámite por ti. Aquí su contacto: +54911XXXXXXX	1
¿Vas a la reunión de Amazon esta noche?	0
He estado pensando en lo que discutimos en Netflix. Deberíamos hablar más sobre eso	0
Estoy pensando en probar Tu banco. ¿Tienes alguna recomendación o consejo al respecto?	0
¡Hola! Estamos realizando una encuesta en Facebook y te hemos seleccionado. Ingresa tus datos para completarla y podrías ganar un premio	1
Tu suscripción a X está activa. No dudes en contactarnos	0
Hola, soy yo, María. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
Desde que descubrí este negocio, mi vida cambió. Confirma tus detalles si quieres saber más	1
Si estás buscando una inversión segura con buenos retornos, esta es tu oportunidad. Contáctame para más información	1
Oye, perdí mi teléfono y tuve que conseguir uno nuevo. ¿Podemos ponernos al día mañana?	0
¿Cansado de esperar? Lucía puede hacer ese trámite por ti. Aquí su contacto: +54911XXXXXXX	1
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en Twitter?	0
Carla ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en @usuarioTwitter	1
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Amazon?	0
Estamos lanzando una nueva app y nos gustaría que la pruebes. Haz clic para descargarla. Asegúrate de revisar los permisos	1
¡Hola! Soy yo, Miguel. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Gracias por tu compra en Facebook. Todo está en orden	0
Si estás buscando una inversión segura con buenos retornos, esta es tu oportunidad. Ingresa tus datos para más información	1
Desde que descubrí este negocio, mi vida cambió. Haz clic aquí si quieres saber más	1
Hola, recibimos una solicitud para cambiar tu contraseña. Si no solicitaste esto, Contáctame inmediatamente	1
¡Hola! detalles de pago. Espero estés bien	0
Descubre cómo las criptomonedas están cambiando la forma de ganar dinero. Confirma tus detalles para unirte a nuestro grupo	1
Por favor, confirma tu asistencia a la cita con el doctor. Saludos	0
Estoy leyendo un libro sobre nuestro servicio. Creo que te gustaría	0
Si estás buscando una inversión segura con buenos retornos, esta es tu oportunidad. Ingresa tus datos para más información	1
Gracias por tu compra en Whatsapp. Todo está en orden	0
Vi las fotos de tu viaje en Facebook. ¡Se veía increíble!	0
¿Has escuchado la nueva canción de Sofía? Está genial	0
Estoy buscando sugerencias para el último libro. ¿Tienes alguna recomendación?	0
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Confirma tus detalles si estás interesado	1
Estoy buscando sugerencias para tu cuenta. ¿Tienes alguna recomendación?	0
¡Hola! ¿Cómo estuvo tu día?	0
¡Esa receta que compartiste en Tu banco se ve deliciosa! ¿Puedes pasarme los detalles?	0
Estoy pensando en probar Facebook. ¿Tienes alguna recomendación o consejo al respecto?	0
¿Vas a la reunión de MercadoPago esta noche?	0
¿Has escuchado la nueva canción de Fernando? Está genial	0
Alguien está difundiendo rumores sobre ti en Facebook. Haz clic aquí para ver lo que están diciendo	1
Oye, ¿todavía tienes esos boletos para el evento en MercadoPago?	0
Recibí tu invitación para el evento en MercadoPago. ¡Gracias! Confirmaré mi asistencia pronto	0
¡Felicidades! Ganaste un premio exclusivo. Haz clic para obtenerlo. Asegúrate de estar en el sitio oficial	1
¡Gracias por compartir ese video en Banco Nación! Me hizo reír mucho	0
Gracias por tu interés en nuestro servicio. Te contactaremos pronto	0
Te escribo para recordarte sobre la reunión de mañana en Netflix. ¿Podrás asistir?	0
Recientemente, descubrí cómo Fernando ganó mucho dinero en poco tiempo. Regístrate ahora si quieres conocer el secreto	1
¡Hola! Soy el asistente virtual de Tu banco. Parece que hay un pequeño problema con tu cuenta. Confirma tus detalles para que te ayude	1
Vi una oferta de MercadoPago que podría interesarte. ¿Te paso el enlace?	0
